Sr No,Test Name,Test ID,Test Code,Dictionary ID,Profile,Test Amount,Cost Of Test,Outsource Amount,Minimum Selling Price,Revenue Cap,Test Type,Outsource Center,Sample Type,Test Category,Department Name,Accreditation,Integration Code,Short Text,CAP Test,Target TAT (HH:MM),Verification Status,Test Description
1,"LEAD, BLOOD",9866070,"LEAD, BLOOD",-,No,2100.0,0.00,2100.0,0.00,0.00,Pathology,CRL DIAGNOSTICS,EDTA WB,,Pathology,Not enable,C126,-,NO,-,Not Verified,
2,NICU PROFILE - BASIC,9863097,NPBC,-,Yes,2410.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,0:2,Not Verified,
3,CULTURE PUS/BODY FLUIDS(ANAEROBIC)	,9850265,CULTURE PUS/BODY FLUIDS(ANAEROBIC)	,-,No,1000,0.00,1000,700.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
4,CORTISOL URINE TOTAL,9825824,CORTISOL URINE TOTAL,-,No,700.0,0.00,700.0,0.00,0.00,Pathology,SELF,Urine,Biochemistry,Pathology,Not enable,C075,-,NO,48:0,Not Verified,
5,METANEPHRINES-Spot Urine,9763542,Serum Free metanephrin,-,No,3200,0.00,3200,0.00,0.00,Pathology,SELF,Urine,-,Pathology,Not enable,-,-,NO,-,Not Verified,
6,Whole Exome Sequencing,9762421,Whole Exome Sequencing,-,No,25000,0.00,25000,40.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
7,Echinococcus (Hydatic Cyst) Detection		,9743062,Echinococcus (Hydatic Cyst) Detection		,-,No,850,0.00,850,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
8,AUTOIMMUNE ENCEPHALITIS PANEL (CELL BASED ASSAY),9741385,AUTOIMMUNE ENCEPHALITIS PANEL (CELL BASED ASSAY),-,No,11000,0.00,11000,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
9,ERYTHROCYTE SEDIMENTATION RATE (ESR),9724707,ESR CEP,-,No,100,0.00,100,0.00,0.00,Pathology,SELF,Fluoride-P,-,Hematology,Not enable,-,-,NO,-,Not Verified,ESR TUBE
10,CALCIUM/CREATININE - RATIO SPOT URINE,9720646,CALCIUM/CREATININE - RATIO SPOT URINE,-,No,250.0,0.00,250.0,117.00,0.00,Pathology,CRL DIAGNOSTICS,Urine,Biochemistry,Biochemistry,Not enable,C279,C/C,NO,48:0,Not Verified,
11,ABPA PANEL,9705832,P1385,-,Yes,2999.993,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,1:12,Not Verified,
